,original_name,country_code,mapped_name,mapped_bvdId,mapping_score,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,Status,Date of incorporation,Operating revenue (Turnover) <th USD 2018>,Operating revenue (Turnover) <th USD 2017>,Operating revenue (Turnover) <th USD 2016>,Operating revenue (Turnover) <th USD 2015>,Operating revenue (Turnover) <th USD 2014>,Operating revenue (Turnover) <th USD 2013>,Operating revenue (Turnover) <th USD 2012>,Operating revenue (Turnover) <th USD 2011>,Operating revenue (Turnover) <th USD 2010>,Operating revenue (Turnover) <th USD 2009>,P/L for period [=Net income] <th USD 2018>,P/L for period [=Net income] <th USD 2017>,P/L for period [=Net income] <th USD 2016>,P/L for period [=Net income] <th USD 2015>,P/L for period [=Net income] <th USD 2014>,P/L for period [=Net income] <th USD 2013>,P/L for period [=Net income] <th USD 2012>,P/L for period [=Net income] <th USD 2011>,P/L for period [=Net income] <th USD 2010>,P/L for period [=Net income] <th USD 2009>,Total assets <th USD 2018>,Total assets <th USD 2017>,Total assets <th USD 2016>,Total assets <th USD 2015>,Total assets <th USD 2014>,Total assets <th USD 2013>,Total assets <th USD 2012>,Total assets <th USD 2011>,Total assets <th USD 2010>,Total assets <th USD 2009>,Shareholders funds <th USD 2018>,Shareholders funds <th USD 2017>,Shareholders funds <th USD 2016>,Shareholders funds <th USD 2015>,Shareholders funds <th USD 2014>,Shareholders funds <th USD 2013>,Shareholders funds <th USD 2012>,Shareholders funds <th USD 2011>,Shareholders funds <th USD 2010>,Shareholders funds <th USD 2009>,Number of employees <2018>,Number of employees <2017>,Number of employees <2016>,Number of employees <2015>,Number of employees <2014>,Number of employees <2013>,Number of employees <2012>,Number of employees <2011>,Number of employees <2010>,Number of employees <2009>,EBITDA <th USD 2018>,EBITDA <th USD 2017>,EBITDA <th USD 2016>,EBITDA <th USD 2015>,EBITDA <th USD 2014>,EBITDA <th USD 2013>,EBITDA <th USD 2012>,EBITDA <th USD 2011>,EBITDA <th USD 2010>,EBITDA <th USD 2009>
215,Mech-mind,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,CloudWell,BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Yangcong345,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Healthway Medical,SG,HEALTHWAY MEDICAL GROUP PTE LTD,SG199400795H,scoreA,HEALTHWAY MEDICAL GROUP PTE LTD,SG199400795H,SG,8610,6221,"Education, Health",Active,02/02/1994,n.a.,n.a.,"23,367","23,717","23,419",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"50,778","57,261","56,568",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-7,106","3,411","3,515",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
219,PaySense Services,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Guangdong Jianke Medicine,CN,"GUANGDONG JIANYE MEDICINE CO.,LTD YANJIANGLUDAYAO HOUSE",CN9361651453,scoreA,"GUANGDONG JIANYE MEDICINE CO.,LTD YANJIANGLUDAYAO HOUSE",CN9361651453,CN,4773,4461,Wholesale & retail trade,Status unknown,11/2001,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
221,Suzhou Bona Dynamic Software,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,FKS Food & Agri,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Arohan Financial Services,IN,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,IN0001090745,scoreA,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,IN0001090745,IN,6499,5239,Banks,Active,27/09/1991,n.a.,n.a.,n.a.,n.a.,n.a.,"5,779","2,656","2,959",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,510,10,"-2,399",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"38,156","19,477","10,386",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"11,206","7,727","3,112",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,268",858,-784,n.a.,n.a.
224,Infonesia,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Taoshihui (The Wisdom Store),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Derkwoo Electronics,KR,"DERKWOO ELECTRONICS CO.,LTD.",KR1760110006963,scoreA,"DERKWOO ELECTRONICS CO.,LTD.",KR1760110006963,KR,2611,3344,"Machinery, equipment, furniture, recycling",Active,01/08/1992,n.a.,"108,107","64,016","75,081",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"13,532","8,895","9,203",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"108,177","50,918","38,118",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"79,090","33,054","24,506",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"17,679","11,583","13,672",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
227,Kyungnam Energy,KR,"KYUNGNAM ENERGY CO.,LTD.",KR1901110001509,scoreA,KYUNGNAM ENERGY CO LTD,KR1901110001509,KR,3522,2212,"Gas, Water, Electricity",Active,1972,n.a.,n.a.,"516,827","621,000","811,237","789,513","733,588","606,005","531,830","435,950",n.a.,n.a.,"23,661","19,199","21,148","16,438","22,641","22,542","15,118","11,436",n.a.,n.a.,"475,799","501,998","599,856","582,159","549,724","450,234","279,453","266,430",n.a.,n.a.,"262,508","275,714","259,060","276,547","258,531","221,660","129,664","114,183",n.a.,n.a.,n.a.,230,247,263,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"52,128","45,103","44,162","44,160","48,451","49,766","41,164","34,080"
228,ETop Pass,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,EcoSea Farming,CL,ECOSEA FARMING S.A.,CL760244422,scoreA,ECOSEA FARMING S.A.,CL760244422,CL, , , ,Active,31/12/2007,n.a.,"6,095",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
230,DeePhi Tech,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Immunotec,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,One Season Boot Camp,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,GLXSS,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Huya,CN,HUYA LIMITED,HK0023699718,scoreA,HUYA LIMITED,HK0023699718,HK, , , ,Active,04/01/2017,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
235,Kanakadurga Finance,IN,KANAKADURGA FINANCE LIMITED,IN0004304965,scoreA,KANAKADURGA FINANCE LIMITED,IN0004304965,IN,6491,5222,Banks,Active,24/10/1994,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
236,Fetchr,AE,FETC HR,AE*976002753,scoreA,FETC HR,AE*976002753,AE, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
237,Ahlijasa,ID,AHLIJASA,ID*901932880,scoreA,AHLIJASA,ID*901932880,ID, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
238,4xLabs,SG,4XLABS PTE. LTD.,SG201104120M,scoreA,4XLABS PTE. LTD.,SG201104120M,SG,6209,5415,Other services,Active,18/02/2011,n.a.,n.a.,n.a.,8,0,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,710,135,106,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,684,130,102,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
239,Moni,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,WDC Networks,BR,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A (Alias: WDC NETWORKS),BR05917486000140,scoreA,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A,BR05917486000140,BR,2630,3342,"Machinery, equipment, furniture, recycling",Active,02/10/2003,n.a.,n.a.,"1,534",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,76,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
241,Yitu Technology,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Echoenergia,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Komaza,KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Shopsense (Fynd),IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Nhat Tin Investment Trading Development,VN,NHAT TIN INVESTMENT TRADING DEVELOPMENT JOINT STOCK COMPANY,VN0312803588,scoreA,NHAT TIN INVESTMENT TRADING DEVELOPMENT JOINT STOCK COMPANY,VN0312803588,VN,5320,4921,Post & telecommunications,Active,2014,n.a.,n.a.,"7,809","2,989",59,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-819,-896,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,809","3,607","1,130",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,300,599,730,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
246,Oddup,CN,ODDUP LIMITED,HK0022052813,scoreA,ODDUP LIMITED,HK0022052813,HK, , , ,Active,29/01/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
247,Hangzhou Wacai Science,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Cwelding Technology (Ruigu Shop),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Zike,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,EV Hive,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Shanghai Kenexa Human Resources Consulting (KNX),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Britania Foods (Jambo Biscuits),KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Utkal Tubers India,IN,UTKAL TUBERS INDIA PRIVATE LIMITED,IN0015441719,scoreA,UTKAL TUBERS INDIA PRIVATE LIMITED,IN0015441719,IN,8299,5614,Other services,Active,10/02/2016,n.a.,n.a.,52,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-169,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,384,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,226,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-229,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
254,Anxin Apartment,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Kunshang Culture Media (Kunlun Fight),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Aegro,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Nibo,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Shanghai Dianda Information Technology,CN,"SHANGHAI DIANDA INFORMATION TECHNOLOGY CO.,LTD",CN9364540422,scoreA,"SHANGHAI DIANDA INFORMATION TECHNOLOGY CO.,LTD",CN9364540422,CN,6399,5191,Other services,Active,06/03/2000,n.a.,n.a.,"13,498",n.a.,"4,408","4,862",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,227",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"15,072",n.a.,"3,307","3,647",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,908",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
259,XSKY Beijing Data Technology,CN,"XSKY (BEIJING) DATA TECHNOLOGY CO., LTD",CN*Z00223188,scoreA,"XSKY (BEIJING) DATA TECHNOLOGY CO., LTD",CN*Z00223188,CN, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
260,OptiCo,ZA,OPTICO (PTY) LTD,ZA201100841907,scoreA,OPTICO (PTY) LTD,ZA201100841907,ZA,6831,5312,Other services,Active,13/04/2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
261,Innogrid,KR,"INNO GRID CO.,LTD.",KR1101113538191,scoreA,"INNO GRID CO.,LTD.",KR1101113538191,KR,5829,5112,"Publishing, printing",Active,04/10/2006,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,211","5,118","4,424",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,443,184,688,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"8,448","7,530","9,218",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"6,589","5,194","5,084",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-620,685,934,n.a.
262,Zigzag (Croquis),KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Molbase Technology,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Social Worth Technologies (EarlySalary),IN,SOCIAL WORTH TECHNOLOGIES PRIVATE LIMITED,IN0015102852,scoreA,SOCIAL WORTH TECHNOLOGIES PRIVATE LIMITED,IN0015102852,IN,6201,5415,Other services,Active,24/10/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
265,Asante,KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Stylam Industries,IN,STYLAM INDUSTRIES LTD,IN33041FI,scoreA,STYLAM INDUSTRIES LTD,IN33041FI,IN,1729,3222,"Wood, cork, paper",Active,1991,n.a.,n.a.,"45,567","37,698","34,264","31,360","25,997","20,417","18,638",n.a.,n.a.,n.a.,"2,830","1,831","1,501","1,136",748,550,841,n.a.,n.a.,n.a.,"45,777","31,824","23,875","21,842","20,861","16,223","14,917",n.a.,n.a.,n.a.,"11,496","8,471","7,037","5,766","5,116","4,641","4,651",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"6,775","4,648","3,681","3,587","2,513","2,038","1,036",n.a.
267,Hesai,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Wook,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Shanghai Star48 Culture & Media,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,G-Banker.com,CN,G-BANKER.COM,CN*P0071787,scoreA,G-BANKER.COM,CN*P0071787,CN, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
271,Resulticks,SG,RESULTICKS SINGAPORE PTE. LTD.,SG201429642C,scoreA,RESULTICKS SINGAPORE PTE. LTD.,SG201429642C,SG,7022,5416,Other services,Active,03/10/2014,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,96,10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-14,-5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
272,Beijing Yidianyuan Network Technology (Xiaodian),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Sequretek IT Solutions,IN,SEQURETEK IT SOLUTIONS PRIVATE LIMITED,IN0012027541,scoreA,SEQURETEK IT SOLUTIONS PRIVATE LIMITED,IN0012027541,IN,6311,5182,Other services,Active,06/11/2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
274,LightSpace Technologies,LV,LIGHTSPACE TECHNOLOGIES SIA,LV010375855,scoreA,LIGHTSPACE TECHNOLOGIES SIA,LV010375855,LV,2620,3341,"Machinery, equipment, furniture, recycling",Active,12/02/2014,n.a.,258,18,13,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-304,-181,-128,-58,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,247","1,103",701,327,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,810",782,531,310,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
275,World Fitness Services (World Gym Taiwan),TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
