original_name,country_code,mapped_name,mapped_bvdId,mapping_score
Amber Enterprises,IN,AMBE ENTERPRISES PRIVATE LIMITED,IN0012906184,scoreA
International Community School,GH,INTERNATIONAL COMMUNITY SCHOOL,GH*P0042266,scoreA
Biorad Medisys,IN,BIORAD MEDISYS PRIVATE LIMITED,IN0001706193,scoreA
Enaltec Labs,IN,ENALTEC LABS PRIVATE LIMITED,IN0002810819,scoreA
Tecnicil Industria,CV,TECNICIL INDUSTRIA S.A.,CV30009QC,scoreA
GongCha Korea,KR,"GONGCHA KOREA CO.,LTD.",KR1101114694918,scoreA
Neurotech,SN,,,
Diverza,MX,,,
46 Degrees,CL,,,
Kuapay,CL,KUAPAY CHILE LIMITADA (Alias: KUAPAY LTDA),CL761526936,scoreA
Wake of Light Network Technology,CN,,,
FitTime,CN,FIT TIME LIMITED,HK0021325053,scoreA
Hsuanzhang (Kungeek.com),CN,,,
EasyLife Financial Services Holding,CN,,,
Lando Media,CN,,,
Vezeeta,EG,DRBRIDGE COMPANY (Alias: VEZEETA),EG0048400472,scoreA
Stericon Pharma,IN,STERICON PHARMA PRIVATE LIMITED,IN0006260044,scoreA
Suraksha Diagnostic,IN,SURAKSHA DIAGNOSTIC PRIVATE LIMITED,IN0013708343,scoreA
Fabindia Overseas,IN,FABINDIA OVERSEAS PRIVATE LIMITED,IN0002728864,scoreA
WatchBanQ Group,CN,,,
Foam Plastics Solutions-Flow Control Devices,CN,,,
Gastronomia & Negocios,CL,GASTRONOMIA Y NEGOCIOS S.A,CL760835277,scoreA
EKT,EE,EKT OU,EE10111539,scoreA
Eco Management Korea (EMK),KR,,,
Azalai Hotels,ML,,,
Clip,MX,,,
FS,BR,F.S . BAURU COMESTIVEIS LTDA (Alias: F.S. BAURU),BR02992029000122,scoreA
Podotree,KR,PODOTREE INC.,KR1101114397752,scoreA
JustBooks Solutions,IN,JUSTBOOKS SOLUTIONS PRIVATE LIMITED,IN0016298642,scoreA
Beijing Capital Juda,CN,,,
Tiger Brokers,CN,TIGER BROKERS LIMITED,HK0024472665,scoreA
Qinbaobao,CN,,,
Muthoot Microfin,IN,MUTHOOT MICROFIN LIMITED,IN0008499722,scoreA
Fix Price,RU,LIMITED LIABILITY COMPANY FIX PRICE - LABINSK,RU10110758,scoreA
Shilpa Medicare,IN,SHILPA MEDICARE LTD,IN31594FI,scoreA
Atour Hotel,CN,,,
DaDaABC.com,CN,,,
Joyworks,CN,,,
ShopKirana E Trading,IN,SHOP KIRANA E TRADING PRIVATE LIMITED,IN0013888906,scoreA
LinkedSee,CN,,,
Hangzhou Timevale Information Technology,CN,,,
Beijing Yingjitong E-commerce,CN,,,
ZCL Chemicals,IN,ZCL CHEMICALS LIMITED,IN0000267355,scoreA
iXiandou,CN,,,
Kopernikus,RS,KOPERNIKUS DOO LJIG,RS17359827,scoreA
Aihuishou International,CN,AIHUISHOU INTERNATIONAL COMPANY LIMITED,HK0001016488,scoreA
Yello Mobile,KR,YELLOMOBILE INC.,KR1101114943109,scoreA
"Truck Alliance (56qq.cn, Huochebang)",CN,,,
No Va Land Investment Group,VN,NO VA LAND INVESTMENT GROUP CORPORATION,VN0301444753,scoreA
TopGene,CN,,,
Masha and the Bear,RU,MASHA AND THE BEAR LTD.,RU66425675,scoreA
ASK Group,IN,ASK GROUP,IN*Z00249473,scoreA
Adcock Ingram Healthcare,IN,,,
Lefit,CN,,,
Kaiyun Auto,CN,,,
Unifood,CL,,,
Orazul Energy,,ORAZUL ENERGY GROUP B.V.,NL34339078,scoreA
Woori Bank,KR,WOORI BANK,KR1101110023393,scoreA
NoBroker Technologies Solutions,IN,NOBROKER TECHNOLOGIES SOLUTIONS PRIVATE LIMITED,IN0013890766,scoreA
Toomics,KR,"TOOMICS CO.,LTD.",KR1101115405249,scoreA
Alkanza,MX,,,
Careem,AE,,,
Hayat Kimya Sanayi,TR,HAYAT KIMYA SANAYI ANONIM SIRKETI,TR275871F,scoreA
Oando Gas and Power (OGP),NG,,,
Vijaya Diagnostic,IN,VIJAYA DIAGNOSTIC PRIVATE LIMITED,IN0001060839,scoreA
ExplainEverything,PL,EXPLAIN EVERYTHING SP. Z O.O.,PL361506895,scoreA
Joy Orient Translational Medicine Research Center,CN,,,
Xishaoye Roujiamo,CN,,,
Timla Foods (PopiCorn),IN,,,
Laiye,CN,,,
Yunjiweidian,CN,,,
Yidaichu,CN,,,
Memebox,KR,MEMEBOX INC.,KR1101114407816,scoreA
Red Rubin/Minty Dot,PL,,,
Resfeber Labs (Porter),IN,,,
Pocket Aces Pictures,IN,POCKET ACES PICTURES PRIVATE LIMITED,IN0011860747,scoreA
Next Entertainment,TW,,,
Ten3T Healthcare,IN,TEN3T HEALTHCARE PRIVATE LIMITED,IN0012485637,scoreA
Evisu (China),CN,,,
KDDL (Kamla Dials),IN,,,
Gho Agro,IN,GHO AGRO PRIVATE LIMITED,IN0016205986,scoreA
Market Kurly,KR,,,
NEO Corporate,TH,NEO CORPORATE CO LTD,TH0105532106338,scoreA
Amandi Energy,GH,,,
Hyperflux Solutions (Comet),IN,,,
OfBusiness,IN,,,
Indifi Technologies,IN,INDIFI TECHNOLOGIES PRIVATE LIMITED,IN0015027759,scoreA
QuintoAndar,BR,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA (Alias: QUINTOANDAR),BR16788643000181,scoreA
Geosteering Technologies,RU,GEOSTEERING TECHNOLOGIES LTD,RU69533684,scoreA
Quickprint,CD,,,
Jamii Bora Bank,KE,JAMII BORA BANK LTD,KEFEB51955,scoreA
Maskota (+Kota),MX,,,
Hindustan Foods,IN,HINDUSTAN FOODS LIMITED,IN32099FI,scoreA
POM&CO,CN,,,
Beijing ZhiMaPai Technology,CN,"BEIJING ZHIMAPAI TECHNOLOGY CO., LTD",CN*Z00094113,scoreA
Microtech Medical,CN,,,
Revv,IN,,,
Haiqiu Technology,CN,,,
Arkel,TR,,,
Pangea,,PANGEA AD,BG831308908,scoreA
Shanghai Yimi Dida Supply Chain Management,CN,"SHANGHAI YIMIDIDA SUPPLY CHAIN MANAGEMENT CO., LTD",CN*Z00237914,scoreA
Hexagon Nutrition,IN,HEXAGON NUTRITION PRIVATE LIMITED,IN0007996745,scoreA
ZestMoney,IN,,,
Nubank,BR,,,
NeuroEquilibrium Diagnostic Systems (Advanced Vertigo and Balance Clinic),PK,,,
Ten Marina,SN,,,
Grupo Los Grobo,AR,GRUPO LOS GROBO SA,AR30-70851174-5,scoreA
GrandOmics Biosciences,CN,,,
KKday,TW,,,
Orben Comunicaciones,MX,ORBEN COMUNICACIONES SAPI DE CV,MXOCO9804024E6,scoreA
IguanaFix,AR,,,
Gourmet F&B Korea,KR,"GOURMET F&B KOREA CO.,LTD.",KR1101111546873,scoreA
Netcad,TR,,,
migme,SG,MIGME PTE. LTD.,SG200916009E,scoreA
Avant Energy,MX,,,
Adinath Agro Processed Foods,IN,ADINATH AGRO PROCESSED FOODS PRIVATE LIMITED,IN0000501184,scoreA
EVR Studio,KR,"EVR STUDIO CO.,LTD.",KR1101115948083,scoreA
Wusong Technology,CN,,,
Xbed,CN,,,
"Beijing Liangshi Wuji Technology (Wandougongzhu, Wonderfull)",CN,,,
Shenzhen Micro Vision Technology (Soouya),CN,,,
MSY Analytics Group,NG,,,
Shanghai Ibaby Network Technology,CN,,,
Core Diagnostics,IN,CORE DIAGNOSTICS PRIVATE LIMITED,IN0010400332,scoreA
IndiaLends,IN,,,
Kinedu,MX,KINEDU SAPI DE CV,MX*Z00268015,scoreA
Chazki,PE,,,
Uniko,MX,,,
Appier,TW,APPIER INC.,TW53102168,scoreA
Kilimo,AR,KILIMO SA,AR30-71510794-1,scoreA
Saleswhale,SG,SALESWHALE PTE. LTD.,SG201416294C,scoreA
Stronghold Technologies,KR,,,
Renewables Cookhouse Wind Farm 1,ZA,,,
JS Hamilton Poland,PL,J.S. HAMILTON POLAND S.A.,PL002893048,scoreA
Nu-Med Group,PL,NU-MED GROUP,PL*P0056636,scoreA
Blue Hills,ZA,BLUE HILLS (PTY) LTD,ZA195500028507,scoreA
Cinemad,AR,,,
Usaflex,BR,FENIX COMERCIO DE CALCADOS E MODAS EIRELI (Alias: USAFLEX),BR21971153000156,scoreA
Paylogic,MA,PAYLOGIC,MA216115-81,scoreA
Byte (Toutiao),CN,,,
Clip,MX,,,
InterEnergy Holdings,DO,,,
Amrod,ZA,AMROD CORPORATE SOLUTIONS (PTY) LTD (Alias: AMROD),ZA201622463007,scoreA
HR Food Processing (Raya Dairy),IN,,,
Pemex Exploracion y Produccion (PEMEX),MX,,,
Apollo Hospitals,IN,APOLLO HOSPITALS,IN*P0032907,scoreA
Intersport ISI,SI,"INTERSPORT ISI, PRODAJA SPORTNE OPREME IN OBLACIL, D.O.O. (Alias: INTERSPORT ISI, D.O.O.)",SI3666280,scoreA
Pulse,IN,PULSE,IN*Z00245680,scoreA
IQ Business,ZA,IQ BUSINESS (PTY) LTD,ZA200000469107,scoreA
Volt,TR,,,
Flex Contact Center,BR,,,
Tessol,IN,,,
DS365 Technology,CN,,,
AffordPlan,IN,,,
Arya Vaidya Pharmacy Coimbatore,IN,ARYA VAIDYA PHARMACY (COIMBATORE) LTD.,IN18-9,scoreA
Elazig Hospital,TR,,,
MonkeyBox Food Tech,IN,MONKEYBOX FOOD TECH PRIVATE LIMITED,IN0015097512,scoreA
Innovent Biologics,CN,"INNOVENT BIOLOGICS (SUZHOU) CO., LTD.",CN9367119754,scoreA
Get.place,PH,GETPLACE,PH*Z00245674,scoreA
Vedeng,CN,,,
Le Travenues Technology (ixigo),IN,,,
Math Buddy,IN,,,
Wholesalebox,NI,,,
K Auction,KR,K-AUCTION INC.,KR1101113306861,scoreA
dMed,CN,"DMED CO., LTD",CN*Z00246116,scoreA
Baoku.com,CN,,,
Jirnexu,MY,JIRNEXU SDN BHD,MY*Z00224285,scoreA
Xishaoye Roujiamo,CN,,,
Timla Foods (PopiCorn),IN,,,
Laiye,CN,,,
Yunjiweidian,CN,,,
Yidaichu,CN,,,
Memebox,KR,MEMEBOX INC.,KR1101114407816,scoreA
Red Rubin/Minty Dot,PL,,,
Resfeber Labs (Porter),IN,,,
Pocket Aces Pictures,IN,POCKET ACES PICTURES PRIVATE LIMITED,IN0011860747,scoreA
Next Entertainment,TW,,,
Ten3T Healthcare,IN,TEN3T HEALTHCARE PRIVATE LIMITED,IN0012485637,scoreA
Evisu (China),CN,,,
KDDL (Kamla Dials),IN,,,
Gho Agro,IN,GHO AGRO PRIVATE LIMITED,IN0016205986,scoreA
Market Kurly,KR,,,
NEO Corporate,TH,NEO CORPORATE CO LTD,TH0105532106338,scoreA
Amandi Energy,GH,,,
Hyperflux Solutions (Comet),IN,,,
OfBusiness,IN,,,
Indifi Technologies,IN,INDIFI TECHNOLOGIES PRIVATE LIMITED,IN0015027759,scoreA
QuintoAndar,BR,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA (Alias: QUINTOANDAR),BR16788643000181,scoreA
Geosteering Technologies,RU,GEOSTEERING TECHNOLOGIES LTD,RU69533684,scoreA
Quickprint,CD,,,
Jamii Bora Bank,KE,JAMII BORA BANK LTD,KEFEB51955,scoreA
Maskota (+Kota),MX,,,
Hindustan Foods,IN,HINDUSTAN FOODS LIMITED,IN32099FI,scoreA
POM&CO,CN,,,
Beijing ZhiMaPai Technology,CN,"BEIJING ZHIMAPAI TECHNOLOGY CO., LTD",CN*Z00094113,scoreA
Microtech Medical,CN,,,
Revv,IN,,,
Haiqiu Technology,CN,,,
Arkel,TR,,,
Pangea,,PANGEA AD,BG831308908,scoreA
Shanghai Yimi Dida Supply Chain Management,CN,"SHANGHAI YIMIDIDA SUPPLY CHAIN MANAGEMENT CO., LTD",CN*Z00237914,scoreA
Hexagon Nutrition,IN,HEXAGON NUTRITION PRIVATE LIMITED,IN0007996745,scoreA
ZestMoney,IN,,,
Nubank,BR,,,
NeuroEquilibrium Diagnostic Systems (Advanced Vertigo and Balance Clinic),PK,,,
Ten Marina,SN,,,
Grupo Los Grobo,AR,GRUPO LOS GROBO SA,AR30-70851174-5,scoreA
GrandOmics Biosciences,CN,,,
KKday,TW,,,
Orben Comunicaciones,MX,ORBEN COMUNICACIONES SAPI DE CV,MXOCO9804024E6,scoreA
IguanaFix,AR,,,
Gourmet F&B Korea,KR,"GOURMET F&B KOREA CO.,LTD.",KR1101111546873,scoreA
Netcad,TR,,,
migme,SG,MIGME PTE. LTD.,SG200916009E,scoreA
Avant Energy,MX,,,
Adinath Agro Processed Foods,IN,ADINATH AGRO PROCESSED FOODS PRIVATE LIMITED,IN0000501184,scoreA
EVR Studio,KR,"EVR STUDIO CO.,LTD.",KR1101115948083,scoreA
Wusong Technology,CN,,,
Xbed,CN,,,
"Beijing Liangshi Wuji Technology (Wandougongzhu, Wonderfull)",CN,,,
Shenzhen Micro Vision Technology (Soouya),CN,,,
MSY Analytics Group,NG,,,
Shanghai Ibaby Network Technology,CN,,,
Core Diagnostics,IN,CORE DIAGNOSTICS PRIVATE LIMITED,IN0010400332,scoreA
IndiaLends,IN,,,
Kinedu,MX,KINEDU SAPI DE CV,MX*Z00268015,scoreA
Chazki,PE,,,
Uniko,MX,,,
Appier,TW,APPIER INC.,TW53102168,scoreA
Kilimo,AR,KILIMO SA,AR30-71510794-1,scoreA
Saleswhale,SG,SALESWHALE PTE. LTD.,SG201416294C,scoreA
Stronghold Technologies,KR,,,
Renewables Cookhouse Wind Farm 1,ZA,,,
JS Hamilton Poland,PL,J.S. HAMILTON POLAND S.A.,PL002893048,scoreA
Nu-Med Group,PL,NU-MED GROUP,PL*P0056636,scoreA
Blue Hills,ZA,BLUE HILLS (PTY) LTD,ZA195500028507,scoreA
Cinemad,AR,,,
Usaflex,BR,FENIX COMERCIO DE CALCADOS E MODAS EIRELI (Alias: USAFLEX),BR21971153000156,scoreA
Paylogic,MA,PAYLOGIC,MA216115-81,scoreA
Byte (Toutiao),CN,,,
Clip,MX,,,
InterEnergy Holdings,DO,,,
Amrod,ZA,AMROD CORPORATE SOLUTIONS (PTY) LTD (Alias: AMROD),ZA201622463007,scoreA
HR Food Processing (Raya Dairy),IN,,,
Pemex Exploracion y Produccion (PEMEX),MX,,,
Apollo Hospitals,IN,APOLLO HOSPITALS,IN*P0032907,scoreA
Intersport ISI,SI,"INTERSPORT ISI, PRODAJA SPORTNE OPREME IN OBLACIL, D.O.O. (Alias: INTERSPORT ISI, D.O.O.)",SI3666280,scoreA
Pulse,IN,PULSE,IN*Z00245680,scoreA
IQ Business,ZA,IQ BUSINESS (PTY) LTD,ZA200000469107,scoreA
Volt,TR,,,
Flex Contact Center,BR,,,
Tessol,IN,,,
DS365 Technology,CN,,,
AffordPlan,IN,,,
Arya Vaidya Pharmacy Coimbatore,IN,ARYA VAIDYA PHARMACY (COIMBATORE) LTD.,IN18-9,scoreA
Elazig Hospital,TR,,,
MonkeyBox Food Tech,IN,MONKEYBOX FOOD TECH PRIVATE LIMITED,IN0015097512,scoreA
Innovent Biologics,CN,"INNOVENT BIOLOGICS (SUZHOU) CO., LTD.",CN9367119754,scoreA
Get.place,PH,GETPLACE,PH*Z00245674,scoreA
Vedeng,CN,,,
Le Travenues Technology (ixigo),IN,,,
Math Buddy,IN,,,
Wholesalebox,NI,,,
K Auction,KR,K-AUCTION INC.,KR1101113306861,scoreA
dMed,CN,"DMED CO., LTD",CN*Z00246116,scoreA
Baoku.com,CN,,,
Jirnexu,MY,JIRNEXU SDN BHD,MY*Z00224285,scoreA
